index,path,action,artwork_status,transcription_status,notes
35,textures/load/spr_sprani_HOLL_RANK_Exst/E989E3B7_1024x1024.dds,zoom_review,blocked_review,needs_zoom_review,
36,textures/load/spr_sprani_JENN_RANK_Exst/06AB5CEE_1024x1024.dds,zoom_review,blocked_review,needs_zoom_review,
37,textures/load/spr_sprani_JENN_RANK_Exst/515DCBB2_1024x1024.dds,zoom_review,blocked_review,needs_zoom_review,
38,textures/load/spr_sprani_JENN_RANK_Exst/6AB5CEE_1024x1024.dds,zoom_review,blocked_review,needs_zoom_review,
43,textures/load/spr_sprani_congrats_cvt_Exst/455717B2_512x512.dds,localize_text,pending_artwork,transcribed_reviewed,pass1 transcription saved
44,textures/load/spr_sprani_etc_cvt_Exst/19CEDB9_512x512.dds,localize_text,pending_artwork,transcribed_reviewed,pass3 transcription saved
45,textures/load/spr_sprani_etc_cvt_Exst/1F77CB88_128x128.dds,zoom_review,blocked_review,needs_zoom_review,
46,textures/load/spr_sprani_etc_cvt_Exst/AA04D779_512x512.dds,localize_text,pending_artwork,transcribed_reviewed,pass2 transcription saved
47,textures/load/spr_sprani_etc_cvt_Exst/AD720950_1024x256.dds,localize_text,pending_artwork,transcribed_reviewed,pass3 transcription saved
48,textures/load/spr_sprani_etc_cvt_Exst/B1696633_512x512.dds,localize_text,pending_artwork,transcribed_reviewed,pass2 transcription saved
49,textures/load/spr_sprani_etc_cvt_Exst/BF3EE5C6_512x512.dds,localize_text,pending_artwork,transcribed_reviewed,pass2 transcription saved
50,textures/load/spr_sprani_etc_cvt_Exst/CBF8ECBF_1024x512.dds,localize_text,pending_artwork,transcribed_reviewed,pass1 transcription saved
51,textures/load/spr_sprani_etc_cvt_Exst/FF2462BB_1024x512.dds,localize_text,pending_artwork,transcribed_reviewed,pass2 transcription saved
52,textures/load/spr_sprani_fight_Exst/A8CE339F_512x256.dds,zoom_review,blocked_review,needs_zoom_review,
53,textures/load/spr_sprani_fruity_cvt_Exst/568D3696_1024x1024.dds,localize_text,pending_artwork,pending_transcription,
54,textures/load/spr_sprani_fruity_cvt_Exst/FA7BBB13_1024x512.dds,localize_text,pending_artwork,pending_transcription,
55,textures/load/spr_sprani_game_cvt_Exst/2EA557B4_512x64.dds,localize_text,pending_artwork,transcribed_reviewed,pass1 transcription saved
57,textures/load/spr_sprani_game_cvt_Exst/39229D64_1024x1024.dds,localize_text,pending_artwork,transcribed_reviewed,pass1 transcription saved
59,textures/load/spr_sprani_game_cvt_Exst/7CE1CFC5_512x128.dds,localize_text,pending_artwork,transcribed_reviewed,pass1 transcription saved
60,textures/load/spr_sprani_game_cvt_Exst/A064FDFC_1024x512.dds,localize_text,pending_artwork,pending_transcription,
61,textures/load/spr_sprani_game_cvt_Exst/C4A2937B_1024x1024.dds,localize_text,pending_artwork,pending_transcription,
62,textures/load/spr_sprani_loading_cvt_Exst/33491F83_512x256.dds,zoom_review,blocked_review,needs_zoom_review,
63,textures/load/spr_sprani_loading_cvt_Exst/48DEBE77_512x512.dds,localize_text,pending_artwork,pending_transcription,
65,textures/load/spr_sprani_loading_cvt_Exst/EBEF6D20_512x512.dds,localize_text,pending_artwork,transcribed_reviewed,pass1 transcription saved
