index,path,text_detected,action,review_status,notes
155,textures/load/spr_sprani_sumo_fe_cvt_Exst/4D49CA85_512x256.dds,maybe,zoom_review,visual_reviewed,
156,textures/load/spr_sprani_sumo_fe_cvt_Exst/4DC09A74_1024x1024.dds,no,no_localization,visual_reviewed,
157,textures/load/spr_sprani_sumo_fe_cvt_Exst/4DF4D7CD_512x512.dds,maybe,zoom_review,visual_reviewed,
158,textures/load/spr_sprani_sumo_fe_cvt_Exst/4EA333E1_256x128.dds,no,no_localization,visual_reviewed,
159,textures/load/spr_sprani_sumo_fe_cvt_Exst/4EDA9DE3_512x256.dds,yes,localize_text,visual_reviewed,
160,textures/load/spr_sprani_sumo_fe_cvt_Exst/502A4363_1024x256.dds,no,no_localization,visual_reviewed,
161,textures/load/spr_sprani_sumo_fe_cvt_Exst/55B57CDE_512x512.dds,yes,localize_text,visual_reviewed,
162,textures/load/spr_sprani_sumo_fe_cvt_Exst/5799E10E_128x64.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
163,textures/load/spr_sprani_sumo_fe_cvt_Exst/59A79158_256x512.dds,yes,localize_text,visual_reviewed,
164,textures/load/spr_sprani_sumo_fe_cvt_Exst/5B65E08C_512x256.dds,yes,localize_text,visual_reviewed,
165,textures/load/spr_sprani_sumo_fe_cvt_Exst/5C98F2_512x512.dds,maybe,zoom_review,visual_reviewed,
166,textures/load/spr_sprani_sumo_fe_cvt_Exst/5EBD7FE8_1024x1024.dds,maybe,zoom_review,visual_reviewed,
167,textures/load/spr_sprani_sumo_fe_cvt_Exst/616FC97B_512x128.dds,no,no_localization,visual_reviewed,
168,textures/load/spr_sprani_sumo_fe_cvt_Exst/633929F3_1024x512.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
169,textures/load/spr_sprani_sumo_fe_cvt_Exst/638F38C0_512x256.dds,maybe,zoom_review,visual_reviewed,
170,textures/load/spr_sprani_sumo_fe_cvt_Exst/642D0939_512x512.dds,no,no_localization,visual_reviewed,
171,textures/load/spr_sprani_sumo_fe_cvt_Exst/67CE2848_512x256.dds,maybe,zoom_review,visual_reviewed,
172,textures/load/spr_sprani_sumo_fe_cvt_Exst/6C9B3611_256x256.dds,maybe,zoom_review,visual_reviewed,
173,textures/load/spr_sprani_sumo_fe_cvt_Exst/6DC89C6E_512x512.dds,yes,localize_text,visual_reviewed,
174,textures/load/spr_sprani_sumo_fe_cvt_Exst/73F852A4_512x512.dds,maybe,zoom_review,visual_reviewed,
175,textures/load/spr_sprani_sumo_fe_cvt_Exst/754F0599_512x256.dds,yes,localize_text,visual_reviewed,
176,textures/load/spr_sprani_sumo_fe_cvt_Exst/75C3586A_512x512.dds,yes,localize_text,visual_reviewed,
177,textures/load/spr_sprani_sumo_fe_cvt_Exst/7978907D_512x128.dds,maybe,zoom_review,visual_reviewed,
178,textures/load/spr_sprani_sumo_fe_cvt_Exst/798A1E_1024x256.dds,maybe,zoom_review,visual_reviewed,
179,textures/load/spr_sprani_sumo_fe_cvt_Exst/7A0DE345_256x256.dds,no,no_localization,visual_reviewed,
180,textures/load/spr_sprani_sumo_fe_cvt_Exst/7ABD5110_1024x256.dds,maybe,zoom_review,visual_reviewed,
181,textures/load/spr_sprani_sumo_fe_cvt_Exst/7B15E0D_256x256.dds,no,no_localization,visual_reviewed,
182,textures/load/spr_sprani_sumo_fe_cvt_Exst/7D747BED_512x128.dds,yes,localize_text,visual_reviewed,
183,textures/load/spr_sprani_sumo_fe_cvt_Exst/7F633EBA_512x128.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
184,textures/load/spr_sprani_sumo_fe_cvt_Exst/845C3D8B_1024x512.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
185,textures/load/spr_sprani_sumo_fe_cvt_Exst/8879509C_512x32.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
186,textures/load/spr_sprani_sumo_fe_cvt_Exst/897570A3_512x128.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
187,textures/load/spr_sprani_sumo_fe_cvt_Exst/8A71F156_256x64.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
188,textures/load/spr_sprani_sumo_fe_cvt_Exst/8C259C68_512x512.dds,yes,localize_text,visual_reviewed,
189,textures/load/spr_sprani_sumo_fe_cvt_Exst/8C9E91F8_512x512.dds,maybe,zoom_review,visual_reviewed,
190,textures/load/spr_sprani_sumo_fe_cvt_Exst/9459C3F3_256x256.dds,no,no_localization,visual_reviewed,
191,textures/load/spr_sprani_sumo_fe_cvt_Exst/94BB6271_512x256.dds,maybe,zoom_review,visual_reviewed,
192,textures/load/spr_sprani_sumo_fe_cvt_Exst/96F4DFEE_256x128.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
193,textures/load/spr_sprani_sumo_fe_cvt_Exst/97E863AD_512x256.dds,yes,localize_text,visual_reviewed,
194,textures/load/spr_sprani_sumo_fe_cvt_Exst/9AC75730_512x512.dds,maybe,zoom_review,visual_reviewed,
195,textures/load/spr_sprani_sumo_fe_cvt_Exst/9CE4E175_256x32.dds,yes,localize_text,visual_reviewed,
196,textures/load/spr_sprani_sumo_fe_cvt_Exst/9EF903AF_512x512.dds,maybe,zoom_review,visual_reviewed,
197,textures/load/spr_sprani_sumo_fe_cvt_Exst/9F060EC1_512x512.dds,yes,localize_text,visual_reviewed,
198,textures/load/spr_sprani_sumo_fe_cvt_Exst/9FC88069_1024x512.dds,yes,localize_text,visual_reviewed,
199,textures/load/spr_sprani_sumo_fe_cvt_Exst/A737D1C1_512x512.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
200,textures/load/spr_sprani_sumo_fe_cvt_Exst/A80D3DD_1024x512.dds,no,no_localization,visual_reviewed,
201,textures/load/spr_sprani_sumo_fe_cvt_Exst/A9ABD877_512x512.dds,yes,localize_text,visual_reviewed,
202,textures/load/spr_sprani_sumo_fe_cvt_Exst/AB56F682_512x512.dds,maybe,zoom_review,visual_reviewed,
203,textures/load/spr_sprani_sumo_fe_cvt_Exst/AC5857B2_512x256.dds,no,no_localization,visual_reviewed,
204,textures/load/spr_sprani_sumo_fe_cvt_Exst/ACBA3534_128x128.dds,no,no_localization,visual_reviewed,
205,textures/load/spr_sprani_sumo_fe_cvt_Exst/ACF61D7C_1024x512.dds,yes,localize_text,visual_reviewed,
206,textures/load/spr_sprani_sumo_fe_cvt_Exst/AEA507A4_512x256.dds,maybe,zoom_review,visual_reviewed,
207,textures/load/spr_sprani_sumo_fe_cvt_Exst/AF711D18_256x256.dds,no,no_localization,visual_reviewed,
208,textures/load/spr_sprani_sumo_fe_cvt_Exst/B2EC23A1_1024x128.dds,no,no_localization,visual_reviewed,
209,textures/load/spr_sprani_sumo_fe_cvt_Exst/B3D9B074_256x512.dds,yes,localize_text,visual_reviewed,
210,textures/load/spr_sprani_sumo_fe_cvt_Exst/B5BB7AB0_512x512.dds,maybe,zoom_review,visual_reviewed,
211,textures/load/spr_sprani_sumo_fe_cvt_Exst/B9B5B1BC_64x64.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
212,textures/load/spr_sprani_sumo_fe_cvt_Exst/BA0147DA_512x512.dds,yes,localize_text,visual_reviewed,
213,textures/load/spr_sprani_sumo_fe_cvt_Exst/BB30665E_512x128.dds,no,no_localization,visual_reviewed,
214,textures/load/spr_sprani_sumo_fe_cvt_Exst/BF229CF4_512x512.dds,maybe,zoom_review,visual_reviewed,
215,textures/load/spr_sprani_sumo_fe_cvt_Exst/C05E67EF_128x64.dds,yes,localize_text,visual_reviewed,
216,textures/load/spr_sprani_sumo_fe_cvt_Exst/C0E7DBE8_256x256.dds,no,no_localization,visual_reviewed,
217,textures/load/spr_sprani_sumo_fe_cvt_Exst/D1039D6F_512x512.dds,maybe,zoom_review,visual_reviewed,
218,textures/load/spr_sprani_sumo_fe_cvt_Exst/D2065DF6_256x256.dds,no,no_localization,visual_reviewed,
219,textures/load/spr_sprani_sumo_fe_cvt_Exst/D263B3F1_512x512.dds,maybe,zoom_review,visual_reviewed,
220,textures/load/spr_sprani_sumo_fe_cvt_Exst/D657C2EB_512x128.dds,yes,localize_text,visual_reviewed,
221,textures/load/spr_sprani_sumo_fe_cvt_Exst/D7392288_512x64.dds,no,no_localization,visual_reviewed,
222,textures/load/spr_sprani_sumo_fe_cvt_Exst/DDF0392A_256x512.dds,yes,localize_text,visual_reviewed,
223,textures/load/spr_sprani_sumo_fe_cvt_Exst/DF1ECB76_256x256.dds,no,no_localization,visual_reviewed,
224,textures/load/spr_sprani_sumo_fe_cvt_Exst/E330D423_256x256.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
225,textures/load/spr_sprani_sumo_fe_cvt_Exst/E3C455FA_512x256.dds,yes,localize_text,visual_reviewed,
226,textures/load/spr_sprani_sumo_fe_cvt_Exst/E3F4BA07_512x128.dds,yes,localize_text,visual_reviewed,
227,textures/load/spr_sprani_sumo_fe_cvt_Exst/E596B7AC_512x512.dds,yes,localize_text,visual_reviewed,
228,textures/load/spr_sprani_sumo_fe_cvt_Exst/E7F6E9B7_512x512.dds,yes,localize_text,visual_reviewed,
229,textures/load/spr_sprani_sumo_fe_cvt_Exst/E91FB954_256x256.dds,no,no_localization,visual_reviewed,
230,textures/load/spr_sprani_sumo_fe_cvt_Exst/E95DA5_512x256.dds,yes,localize_text,visual_reviewed,
231,textures/load/spr_sprani_sumo_fe_cvt_Exst/EBE401C8_512x256.dds,yes,localize_text,visual_reviewed,
232,textures/load/spr_sprani_sumo_fe_cvt_Exst/EBFC709F_512x256.dds,yes,localize_text,visual_reviewed,
233,textures/load/spr_sprani_sumo_fe_cvt_Exst/F20926A9_512x512.dds,yes,localize_text,visual_reviewed,
234,textures/load/spr_sprani_sumo_fe_cvt_Exst/F2E7EA57_256x256.dds,no,no_localization,visual_reviewed,
235,textures/load/spr_sprani_sumo_fe_cvt_Exst/F813D9D3_512x32.dds,no,no_localization,visual_reviewed,
236,textures/load/spr_sprani_sumo_fe_cvt_Exst/FEF70E85_512x512.dds,yes,localize_text,visual_reviewed,
237,textures/load/spr_sprani_sumo_fe_cvt_Exst/FF514CEB_512x512.dds,yes,localize_text,visual_reviewed,
238,textures/load/spr_sprani_sumo_loading_Exst/132A1B1F_512x512.dds,maybe,zoom_review,visual_reviewed,
239,textures/load/spr_sprani_sumo_loading_Exst/1EC9612_64x64.dds,no,no_localization,visual_reviewed,
240,textures/load/spr_sprani_sumo_loading_Exst/4E9FE840_32x512.dds,no,no_localization,visual_reviewed,
241,textures/load/spr_sprani_sumo_loading_Exst/E1639D2E_256x64.dds,yes,localize_text,visual_reviewed,
242,textures/load/spr_sprani_sumo_loading_Exst/EB6B55F0_128x512.dds,no,no_localization,visual_reviewed,
